1	1	1
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	1
10	8	1
6	10	1
10	1	1
11	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
1	2	1
1	3	1
1	5	1
1	4	1
1	6	1
1	7	1
1	8	1
25	2	1
25	3	1
25	4	1
25	5	1
25	6	1
25	7	1
25	8	1
2	5	1
3	5	1
4	5	1
5	5	1
6	5	1
7	5	1
8	5	1
9	5	1
10	5	1
11	5	1
11	4	1
11	3	1
11	2	1
6	2	1
6	3	1
6	4	1
15	2	1
15	3	1
15	4	1
15	5	1
14	5	1
13	5	1
12	5	1
16	5	1
17	5	1
18	5	1
19	5	1
20	5	1
21	5	1
22	5	1
23	5	1
24	5	1
20	2	1
20	3	1
20	4	1
2	8	1
3	8	1
4	8	1
5	8	1
6	8	1
6	7	1
6	6	1
9	6	1
9	7	1
9	8	1
11	8	1
17	6	1
17	7	1
17	8	1
10	8	1
16	8	1
15	8	1
20	8	1
20	6	1
20	7	1
21	8	1
22	8	1
23	8	1
24	8	1
6	9	1
6	11	1
6	12	1
6	13	1
6	14	1
5	14	1
4	14	1
3	14	1
2	14	1
1	14	1
11	9	1
11	10	1
15	10	1
15	9	1
20	9	1
20	10	1
20	11	1
20	12	1
20	13	1
20	14	1
21	14	1
22	14	1
23	14	1
24	14	1
25	14	1
10	15	1
11	11	1
10	11	1
9	11	1
15	11	1
16	11	1
17	11	1
12	11	1
13	11	1
14	11	1
13	12	0
13	13	0
9	12	1
9	13	1
9	14	1
8	14	1
7	14	1
9	15	1
11	15	1
12	15	1
13	15	1
14	15	1
15	15	1
16	15	1
17	15	1
20	15	1
17	12	1
17	13	1
17	14	1
6	15	1
6	16	1
6	17	1
9	17	1
9	16	1
17	16	1
17	17	1
20	17	1
20	16	1
10	17	1
11	17	1
16	17	1
15	17	1
8	17	1
7	17	1
5	17	1
4	17	1
3	17	1
2	17	1
1	17	1
19	17	1
18	17	1
21	17	1
22	17	1
23	17	1
24	17	1
25	17	1
11	18	1
11	19	1
15	19	1
15	18	1
6	19	1
6	18	1
20	18	1
20	19	1
6	20	1
7	20	1
8	20	1
9	20	1
10	20	1
11	20	1
12	20	1
13	20	1
14	20	1
15	20	1
16	20	1
17	20	1
18	20	1
19	20	1
20	20	1
23	20	1
24	20	1
25	20	1
25	19	1
25	18	1
1	20	1
1	19	1
1	18	1
2	20	1
3	20	1
3	21	1
3	22	1
6	22	1
6	21	1	
9	21	1	
9	22	1
17	21	1
17	22	1
20	22	1
20	21	1
23	21	1
23	22	1
20	23	1
21	23	1
22	23	1
23	23	1
24	23	1
25	23	1
1	23	1
2	23	1
3	23	1
4	23	1
5	23	1
6	23	1
9	23	1
10	23	1
11	23	1
17	23	1
16	23	1
15	23	1
11	24	1
11	25	1
15	25	1
15	24	1
25	25	1
25	24	1
1	25	1
1	24	1
1	26	1
1	27	1
2	27	1
3	27	1
4	27	1
5	27	1
6	27	1
7	27	1
8	27	1
9	27	1
10	27	1
11	27	1
12	27	1
14	27	1
15	27	1
16	27	1
13	27	1
17	27	1
18	27	1
19	27	1
20	27	1
21	27	1
22	27	1
23	27	1
24	27	1
25	26	1
15	26	1
11	26	1
25	27	1
0	14	1
26	14	1
